s3:DeleteBucket
s3:DeleteBucketPolicy
s3:DeleteBucketWebsite
s3:ObjectOwnerOverrideToBucketOwner
s3:PutAccelerateConfiguration
s3:PutAnalyticsConfiguration
s3:PutBucketAcl
s3:PutBucketCORS
s3:PutBucketLogging
s3:PutBucketNotification
s3:PutBucketObjectLockConfiguration
s3:PutBucketOwnershipControls
s3:PutBucketPolicy
s3:PutBucketPublicAccessBlock
s3:PutBucketRequestPayment
s3:PutBucketTagging
s3:PutBucketVersioning
s3:PutBucketWebsite
s3:PutEncryptionConfiguration
s3:PutIntelligentTieringConfiguration
s3:PutInventoryConfiguration
s3:PutLifecycleConfiguration
s3:PutMetricsConfiguration
s3:PutObjectAcl
s3:PutObjectLegalHold
s3:PutObjectRetention
s3:PutObjectVersionAcl
s3:PutReplicationConfiguration
